unit,status,no_rooms,no_bath,area(ftsq),id
#8029,"Off-Market on 09/09/2015 at $4,595",studio,1 bath,991 ftsq,778151
#8123,"Off-Market on 09/09/2015 at $4,550",1 bed,1 bath,640 ftsq,778151
#8124,"Off-Market on 09/09/2015 at $3,650",1 bed,1 bath,624 ftsq,778151
#70016,"Off-Market on 08/20/2015 at $4,694",studio,1 bath,991 ftsq,778151
#70017,"Off-Market on 08/20/2015 at $4,995",studio,1 bath,991 ftsq,778151
#80013,"Off-Market on 08/20/2015 at $4,995",studio,1 bath,991 ftsq,778151
#80015,"Off-Market on 08/20/2015 at $5,395",studio,1 bath,917 ftsq,778151
#80016,"Off-Market on 08/20/2015 at $3,195",studio,1 bath,520 ftsq,778151
#80113,"Off-Market on 08/20/2015 at $3,795",1 bed,1 bath,624 ftsq,778151
#80114,"Off-Market on 08/20/2015 at $4,595",1 bed,1 bath,618 ftsq,778151
#PHA,Off-Market,,,600 ftsq,778151
#PHB,"Off-Market on 05/30/2015 at $5,095",studio,1 bath,857 ftsq,778151
#PHE,"Off-Market on 04/12/2016 at $4,062",studio,1 bath,640 ftsq,778151
#PHF,"Off-Market on 08/08/2015 at $5,095",1 bed,1 bath,857 ftsq,778151
#PHG,"Off-Market on 07/31/2018 at $5,850",1 bed,1 bath,882 ftsq,778151
#PHJ,"Off-Market on 08/23/2015 at $4,995",1 bed,1 bath,991 ftsq,778151
#PH1,"Off-Market on 01/18/2012 at $4,195",1 bed,1 bath,900 ftsq,778151
#1,"Listed for rent at $11,995",4 beds,3 baths,"2,200 ftsq",75173
#2,"Off-Market on 03/14/2016 at $3,300",2 beds,1 bath,800 ftsq,75173
#APT2,Off-Market,,,800 ftsq,75173
#1B,Sold on 12/15/2017 for $400,,,,785485
#1C,"Sold on 03/10/2017 for $499,000",2 beds,1 bath,600 ftsq,785485
#1D,"Sold on 08/06/2015 for $449,000",1 bed,1 bath,,785485
#1E,"Sold on 08/28/2018 for $385,000",1 bed,1 bath,,785485
#2A,"Sold on 08/12/2005 for $448,000",,,,785485
#2D,Sold on 10/12/2016 for $0,1 bed,1 bath,,785485
#2E,"Sold on 07/14/2017 for $423,000",1 bed,1 bath,,785485
#3,"Off-Market on 12/06/2016 at $2,500",2 beds,1 bath,,785485
#3A,Sold on 04/28/2017 for $10,2 beds,1 bath,,785485
#3B,"Off-Market on 07/28/2017 at $2,390",2 beds,1 bath,,785485
#3D,"Off-Market on 04/02/2017 at $1,990",1 bed,1 bath,550 ftsq,785485
#3E,"Sold on 06/16/2016 for $390,000",1 bed,1 bath,350 ftsq,785485
#C,"Off-Market on 03/14/2011 at $2,300",2 beds,1 bath,650 ftsq,785485
#4B,"Listed for sale at $582,000",1 bed,1 bath,,785485
#4C,"Sold on 07/06/2009 for $370,000",2 beds,1 bath,600 ftsq,785485
#C4,Off-Market,,,600 ftsq,785485
#5,"Off-Market on 12/13/2017 at $395,000",1 bed,1 bath,,785485
#CA,"Off-Market on 11/25/2011 at $2,350",2 beds,1 bath,600 ftsq,785485
#D,"Off-Market on 05/17/2018 at $2,500",1 bed,1 bath,,785485
#5A,"Sold on 06/09/2017 for $529,500",1 bed,1 bath,650 ftsq,785485
#5B,"Sold on 02/07/2014 for $381,000",2 beds,1 bath,600 ftsq,785485
#5C,"Off-Market on 04/22/2010 at $2,200",2 beds,1 bath,600 ftsq,785485
#5D,"Off-Market on 06/29/2018 at $399,000",1 bed,1 bath,,785485
#5E,"Off-Market on 02/28/2011 at $1,675",1 bed,1 bath,,785485
#1-5,"Listed for sale at $395,000",1 bed,1 bath,,785485
#31,"Off-Market on 06/26/2011 at $2,300",2 beds,1 bath,600 ftsq,785485
#5A,"Off-Market on 10/02/2018 at $7,000",1 bed,2 baths,"1,179 ftsq",786887
#5B,"Sold on 07/31/2018 for $1,565,000",1 bed,1.5 baths,892 ftsq,786887
#5C,"Sold on 11/29/2018 for $228,009",,,,786887
#5D,"Sold on 07/18/2018 for $2,420,000",2 beds,2.5 baths,"1,450 ftsq",786887
#5E,"Sold on 10/05/2018 for $284,389",,,,786887
#5F,"Sold on 10/05/2018 for $284,389",,,,786887
#6A,"Sold on 07/10/2018 for $2,850,000",2 beds,2 baths,"1,365 ftsq",786887
#6B,"Sold on 06/26/2018 for $3,823,733",3 beds,3.5 baths,"1,914 ftsq",786887
#6C,"Sold on 07/11/2018 for $2,090,162",1 bed,1.5 baths,"1,005 ftsq",786887
#6D,"Sold on 10/11/2018 for $339,098",,,,786887
#6E,"Sold on 10/19/2018 for $230,759",,,,786887
#6F,"Sold on 10/24/2018 for $230,759",,,,786887
#7A,"Sold on 09/28/2018 for $284,389",,,,786887
#7B,"Sold on 09/28/2018 for $284,389",,,,786887
#7C,"Listed for sale at $2,500,000",2 beds,2.5 baths,"1,376 ftsq",786887
#7D,"Off-Market on 10/18/2018 at $6,500",1 bed,1.5 baths,"1,003 ftsq",786887
#7E,"Sold on 09/28/2018 for $339,098",,,,786887
#7F,"Sold on 10/05/2018 for $230,759",,,,786887
#7G,"Sold on 10/12/2018 for $230,759",,,,786887
#8A,"Sold on 07/12/2018 for $1,555,581",1 bed,1.5 baths,"1,000 ftsq",786887
#8B,"Off-Market on 08/15/2018 at $5,500",1 bed,1 bath,773 ftsq,786887
#8C,"Sold on 08/29/2018 for $3,049,658",2 beds,2.5 baths,"1,561 ftsq",786887
#8D,"Off-Market on 10/02/2018 at $10,500",2 beds,2 baths,"1,293 ftsq",786887
#8E,"Off-Market on 10/30/2018 at $5,500",1 bed,1 bath,765 ftsq,786887
#8F,"Sold on 07/17/2018 for $2,447,128",2 beds,2 baths,"1,229 ftsq",786887
#9A,"Sold on 07/25/2018 for $1,611,585",1 bed,1.5 baths,976 ftsq,786887
#9B,"Off-Market on 10/30/2018 at $5,000",1 bed,1 bath,753 ftsq,786887
#9C,"Sold on 09/14/2018 for $2,900,000",2 beds,2.5 baths,"1,522 ftsq",786887
#9D,"Sold on 07/26/2018 for $2,716,386",2 beds,2 baths,"1,286 ftsq",786887
#9E,"Sold on 08/03/2018 for $1,413,026",1 bed,1 bath,766 ftsq,786887
#9F,"Sold on 07/19/2018 for $2,464,624",1 bed,1 bath,"1,224 ftsq",786887
#10A,"Off-Market on 10/26/2018 at $6,500",1 bed,1.5 baths,966 ftsq,786887
#10B,"Listed for rent at $5,700",1 bed,1 bath,736 ftsq,786887
#10C,"Sold on 07/10/2018 for $2,925,000",2 beds,2.5 baths,"1,475 ftsq",786887
#10D,"Sold on 10/04/2018 for $2,810,000",2 beds,2 baths,"1,287 ftsq",786887
#10E,"Sold on 07/20/2018 for $1,504,668",1 bed,1 bath,767 ftsq,786887
#10F,"Sold on 07/20/2018 for $2,590,000",2 beds,2 baths,"1,227 ftsq",786887
#11A,"Sold on 07/23/2018 for $2,750,000",2 beds,2.5 baths,"1,373 ftsq",786887
#11B,"Off-Market on 04/19/2017 at $4,000,000",3 beds,3.5 baths,"1,734 ftsq",786887
#11C,"Sold on 08/13/2018 for $2,750,000",2 beds,2 baths,"1,279 ftsq",786887
#11D,"Listed for sale at $1,595,000",1 bed,1 bath,765 ftsq,786887
#11E,"Sold on 07/23/2018 for $2,635,000",2 beds,2 baths,"1,225 ftsq",786887
#12A,"Listed for sale at $2,955,000",2 beds,2.5 baths,"1,353 ftsq",786887
#12B,"Listed for sale at $3,495,000",3 beds,3.5 baths,"1,683 ftsq",786887
#12C,Off-Market,,,,786887
#12D,"Sold on 07/24/2018 for $1,682,862",1 bed,1 bath,766 ftsq,786887
#12E,"Listed for sale at $2,695,000",2 beds,2 baths,"1,226 ftsq",786887
#14A,"Listed for rent at $6,500",1 bed,1.5 baths,966 ftsq,786887
#14B,"Off-Market on 10/09/2018 at $4,750,000",3 beds,3.5 baths,"2,011 ftsq",786887
#14C,Off-Market,,,,786887
#14D,Off-Market,,,,786887
#14E,Off-Market,,,,786887
#COMM,Off-Market,,,,786887
#RTL1,Off-Market,,,,786887
#RTL2,Off-Market,,,,786887
#RTL3,Off-Market,,,,786887
#RTL4,Off-Market,,,,786887
#PHA,"Sold on 10/03/2018 for $5,150,000",2 beds,2.5 baths,"2,111 ftsq",786887
#PHB,"Listed for sale at $7,350,000",3 beds,3.5 baths,"2,478 ftsq",786887
#PHC,"Off-Market on 11/15/2018 at $6,250,000",3 beds,3.5 baths,"2,181 ftsq",786887
#1A,"Sold on 06/24/2009 for $2,845,000",3 beds,3.5 baths,"3,127 ftsq",782741
#1B,"Off-Market on 11/14/2014 at $14,500",3 beds,4 baths,"4,305 ftsq",782741
#1C,"Listed for sale at $3,850,000",2 beds,3.5 baths,"3,428 ftsq",782741
#1D,"Sold on 05/23/2018 for $3,775,000",3 beds,2.5 baths,"2,867 ftsq",782741
#1E,"Off-Market on 10/06/2017 at $6,000",1 bed,2 baths,"1,091 ftsq",782741
#2A,"Off-Market on 08/08/2016 at $5,750,000",3 beds,2.5 baths,"3,200 ftsq",782741
#2B,"Sold on 05/26/2017 for $4,505,000",3 beds,2.5 baths,"2,687 ftsq",782741
#2C,"Off-Market on 01/10/2007 at $3,095,000",2 beds,2.5 baths,"2,899 ftsq",782741
#2D,"Sold on 08/29/2013 for $4,580,000",3 beds,2.5 baths,"2,705 ftsq",782741
#2E,"Sold on 03/30/2012 for $4,175,000",3 beds,2.5 baths,"3,578 ftsq",782741
#3A,"Sold on 05/28/2015 for $5,009,000",3 beds,2.5 baths,"3,300 ftsq",782741
#3B,"Off-Market on 03/24/2017 at $19,500",2 beds,2.5 baths,"2,686 ftsq",782741
#3C,"Off-Market on 02/15/2017 at $13,950",2 beds,2.5 baths,"2,949 ftsq",782741
#3D,"Sold on 10/10/2001 for $1,095,000",,,"2,705 ftsq",782741
#3E,"Sold on 01/12/2015 for $5,350,000",3 beds,2.5 baths,"3,577 ftsq",782741
#4A,"Listed for rent at $14,999",4 beds,2.5 baths,"3,200 ftsq",782741
#4B,"Sold on 08/08/2001 for $1,553,000",,,"2,686 ftsq",782741
#4C,"Off-Market on 09/23/2014 at $23,000",3 beds,2.5 baths,"3,300 ftsq",782741
#4D+,"Off-Market on 01/04/2013 at $4,100,000",3 beds,3 baths,"2,350 ftsq",782741
#4D,"Sold on 04/30/2014 for $4,158,800",3 beds,3 baths,"2,350 ftsq",782741
#4E,"Off-Market on 07/08/2008 at $16,000",3 beds,2.5 baths,"3,577 ftsq",782741
#5A,Sold on 10/31/2017 for $0,,,"3,216 ftsq",782741
#5B,"Sold on 12/17/2009 for $2,750,000",2 beds,2.5 baths,"2,686 ftsq",782741
#5C,Sold on 12/19/2014 for $0,2 beds,2.5 baths,"2,899 ftsq",782741
#5D,"Sold on 08/31/2001 for $1,196,500",,,"2,705 ftsq",782741
#5E,"Sold on 11/01/2006 for $3,525,000",,,"3,577 ftsq",782741
#6A,"Off-Market on 06/23/2009 at $5,850,000",4 beds,3.5 baths,"5,462 ftsq",782741
#6AB,"Off-Market on 11/26/2018 at $10,998,000",4 beds,3.5 baths,"5,462 ftsq",782741
#6C,"Off-Market on 05/31/2017 at $5,750,000",3 beds,2.5 baths,"3,269 ftsq",782741
#6D,Sold on 04/02/2015 for $0,2 beds,2.5 baths,"2,705 ftsq",782741
#6E,"Off-Market on 04/23/2018 at $15,000",3 beds,2.5 baths,"3,577 ftsq",782741
#PS1,"Sold on 08/03/2011 for $6,900,000",,,152 ftsq,782741
#PS2,Sold on 04/02/2015 for $0,,,152 ftsq,782741
#PS3,"Sold on 06/27/2002 for $76,500",,,152 ftsq,782741
#PS4,"Sold on 09/13/2010 for $25,000",,,152 ftsq,782741
#PS5,"Sold on 05/24/2017 for $5,400,000",,,152 ftsq,782741
#PS6,"Sold on 09/09/2002 for $48,500",,,152 ftsq,782741
#PS7,Off-Market,,,152 ftsq,782741
#PS8,"Sold on 03/18/2004 for $190,000",,,152 ftsq,782741
#PS9,"Sold on 12/21/2006 for $207,000",,,152 ftsq,782741
#PS10,"Sold on 06/26/2002 for $97,000",,,152 ftsq,782741
#PS11,"Sold on 11/09/2006 for $3,250,000",,,152 ftsq,782741
#PS12,Sold on 12/26/2012 for $0,,,152 ftsq,782741
#PS13,"Sold on 01/20/2005 for $225,000",,,152 ftsq,782741
#PS14,"Sold on 10/04/2002 for $97,000",,,152 ftsq,782741
#PHN,"Sold on 02/18/2007 for $6,995,000",4 beds,3.5 baths,"3,910 ftsq",782741
#PHS,"Sold on 11/30/2001 for $3,920,500",,,"3,860 ftsq",782741
#1B,"Off-Market on 06/07/2013 at $4,000",1 bed,1 bath,750 ftsq,786511
#3A,"Off-Market on 05/17/2010 at $2,195",2 beds,1 bath,,786511
#4B,"Off-Market on 11/06/2015 at $2,800",1 bed,1 bath,,786511
#7,"Off-Market on 03/17/2010 at $1,676",1 bed,1 bath,,786511
#10,"Off-Market on 02/12/2018 at $3,975",2 beds,1 bath,,786511
#14,"Off-Market on 02/16/2018 at $3,350",3 beds,1 bath,850 ftsq,786511
#6789,"Off-Market on 09/14/2011 at $2,595",2 beds,1 bath,,786511
#1,"Off-Market on 12/08/2017 at $2,500",2 beds,1 bath,,785783
#2,"Off-Market on 09/14/2016 at $3,000",2 beds,1 bath,575 ftsq,785783
#4,"Off-Market on 12/11/2017 at $2,500",2 beds,1 bath,,785783
#5,"Off-Market on 08/25/2016 at $3,000",2 beds,1 bath,575 ftsq,785783
#7,"Off-Market on 09/02/2018 at $2,850",2 beds,1 bath,550 ftsq,785783
#8,"Off-Market on 08/20/2018 at $2,950",2 beds,1 bath,575 ftsq,785783
#10,"Off-Market on 09/17/2018 at $2,800",2 beds,1 bath,500 ftsq,785783
#11,"Off-Market on 11/20/2017 at $2,500",2 beds,1 bath,,785783
#13,"Off-Market on 07/23/2017 at $2,900",2 beds,1 bath,,785783
#16,"Listed for rent at $2,775",2 beds,1 bath,,785783
#17,"Off-Market on 10/21/2014 at $2,575",1 bed,1 bath,575 ftsq,785783
#1A,"Sold on 11/14/2014 for $642,500",1 bed,1 bath,,785097
#1B,"Sold on 11/12/2014 for $709,000",1 bed,1 bath,,785097
#1C,"Sold on 10/20/2015 for $685,000",1 bed,1 bath,,785097
#2A,"Listed for sale at $725,000",1 bed,1 bath,650 ftsq,785097
#2B,"Off-Market on 11/05/2017 at $875,000",1 bed,1 bath,,785097
#2D,"Off-Market on 09/21/2018 at $3,450",1 bed,1 bath,,785097
#2DD,"Off-Market on 03/09/2016 at $3,400",1 bed,1 bath,,785097
#3A,"Sold on 08/03/2015 for $700,000",1 bed,1 bath,,785097
#3B,"Listed for sale at $699,000",1 bed,1 bath,,785097
#3D,"Off-Market on 11/01/2018 at $3,450",1 bed,1 bath,,785097
#4AB,"Off-Market on 03/26/2018 at $5,250",3 beds,1.5 baths,,785097
#5A,Off-Market,,,,785097
#5B,"Sold on 10/27/2014 for $810,000",,,,785097
#4A/4B,"Sold on 02/12/2013 for $895,000",,,,785097
#UNIT,Off-Market,,,,785097
#PHB,"Off-Market on 10/28/2014 at $750,000",2 beds,1 bath,900 ftsq,785097
#THOUSE,"Off-Market on 09/15/2014 at $16,500",4 beds,3.5 baths,,73661
#1G,"Off-Market on 12/21/2011 at $2,000",1 bed,1 bath,650 ftsq,71080
#3,"Off-Market on 10/31/2017 at $3,500",1 bed,1 bath,,71080
#4,"Off-Market on 12/18/2013 at $3,800",2 beds,1 bath,"1,350 ftsq",71080
#GARDEN,"Off-Market on 10/18/2018 at $2,800",1 bed,1 bath,,71080
#DUPLEX,"Off-Market on 06/23/2008 at $4,395",1 bed,1 bath,,71080
#1,"Off-Market on 06/12/2011 at $2,350",studio,1 bath,,776583
#1BR,"Off-Market on 04/21/2014 at $3,500",1 bed,1 bath,852 ftsq,776583
1-BEDROOM,Off-Market,,,,776583
#2,"Off-Market on 04/21/2013 at $5,145",2 beds,2 baths,,776583
#2BD,"Off-Market on 10/07/2013 at $4,600",2 beds,2 baths,,776583
#2BR,"Off-Market on 04/21/2014 at $4,900",2 beds,2 baths,"1,180 ftsq",776583
2-BEDROOM,Off-Market,,,,776583
#3D,Off-Market,,,,776583
#8,"Off-Market on 09/09/2011 at $2,650",studio,1 bath,,776583
#10,"Off-Market on 09/26/2013 at $3,395",1 bed,1 bath,,776583
#11,"Off-Market on 06/04/2012 at $3,595",1 bed,1 bath,,776583
#12,"Off-Market on 02/12/2014 at $4,575",1 bed,1 bath,,776583
#K,"Off-Market on 05/17/2011 at $4,500",2 beds,2 baths,,776583
#14,"Off-Market on 10/07/2013 at $3,495",1 bed,1 bath,900 ftsq,776583
#14J,"Off-Market on 05/24/2011 at $3,830",2 beds,1 bath,,776583
#17,"Off-Market on 03/10/2012 at $3,000",1 bed,1 bath,,776583
#18,"Off-Market on 06/07/2013 at $4,800",2 beds,2 baths,"1,250 ftsq",776583
#19C,"Off-Market on 07/30/2013 at $2,995",1 bed,1 bath,,776583
#20,Off-Market,,,,776583
#S,"Off-Market on 02/12/2010 at $2,070",studio,1 bath,,776583
#21,Off-Market,,,,776583
#23,"Off-Market on 06/07/2013 at $2,700",studio,1 bath,,776583
#24,"Off-Market on 09/21/2013 at $3,850",2 beds,1 bath,,776583
#25,"Off-Market on 09/16/2013 at $3,500",2 beds,1 bath,800 ftsq,776583
#26G,"Off-Market on 04/01/2014 at $5,650",2 beds,2 baths,,776583
#31C,"Off-Market on 07/27/2013 at $2,995",1 bed,1 bath,650 ftsq,776583
#32C,"Off-Market on 07/30/2013 at $3,495",1 bed,1 bath,817 ftsq,776583
#35,"Off-Market on 10/15/2013 at $2,870",1 bed,1 bath,640 ftsq,776583
#VAR,"Off-Market on 12/28/2012 at $3,750",studio,1 bath,,776583
#VARC1,Off-Market,,,,776583
#XX,"Off-Market on 03/29/2011 at $3,447",1 bed,1 bath,800 ftsq,776583
#LOFT,Off-Market,,,,776583
#STU,"Off-Market on 02/12/2014 at $2,670",studio,1 bath,,776583
#VAR2BR,Off-Market,,,"1,080 ftsq",776583
#STUDIO,Off-Market,,,,776583
#109,Off-Market,,,986 ftsq,776583
ALCOVE-STU,Off-Market,,,,776583
STUDIO-W-O,Off-Market,,,,776583
#190,"Listed for rent at $3,838",studio,1 bath,815 ftsq,776583
#201,"Off-Market on 06/01/2017 at $3,374",studio,1 bath,551 ftsq,776583
#202,"Off-Market on 06/20/2017 at $2,752",studio,1 bath,453 ftsq,776583
#203,"Off-Market on 11/11/2016 at $2,784",studio,1 bath,495 ftsq,776583
#204,"Off-Market on 12/04/2017 at $3,614",studio,1 bath,805 ftsq,776583
#205,"Listed for rent at $4,248",studio,1 bath,889 ftsq,776583
#206,"Off-Market on 06/07/2017 at $3,900",1 bed,1 bath,674 ftsq,776583
#207,"Off-Market on 09/10/2018 at $6,084",2 beds,2 baths,"1,079 ftsq",776583
#208,"Off-Market on 09/20/2018 at $3,396",studio,1 bath,591 ftsq,776583
#210,"Off-Market on 02/06/2018 at $3,130",studio,1 bath,576 ftsq,776583
#210A,Off-Market,,,600 ftsq,776583
#211,"Off-Market on 07/07/2016 at $5,854",2 beds,2 baths,"1,080 ftsq",776583
#212,"Off-Market on 08/24/2017 at $3,795",1 bed,1 bath,678 ftsq,776583
#213,"Off-Market on 06/17/2017 at $3,870",studio,1 bath,675 ftsq,776583
#214,"Off-Market on 11/02/2017 at $3,610",studio,1 bath,685 ftsq,776583
#215,"Off-Market on 08/12/2016 at $2,886",studio,1 bath,487 ftsq,776583
#218,"Off-Market on 06/06/2013 at $3,346",studio,1 bath,464 ftsq,776583
#219,"Off-Market on 01/15/2018 at $3,231",studio,1 bath,597 ftsq,776583
#224,"Off-Market on 02/21/2014 at $4,232",1 bed,1 bath,886 ftsq,776583
#302,"Off-Market on 12/12/2016 at $2,710",studio,1 bath,,776583
#303,"Off-Market on 09/19/2016 at $2,966",studio,1 bath,495 ftsq,776583
#304,"Off-Market on 03/20/2014 at $3,647",studio,1 bath,818 ftsq,776583
#305,"Off-Market on 09/25/2017 at $3,944",2 beds,1 bath,889 ftsq,776583
#306,"Off-Market on 04/17/2018 at $3,725",1 bed,1 bath,674 ftsq,776583
#307,"Off-Market on 07/20/2017 at $6,349",2 beds,2 baths,"1,079 ftsq",776583
#310,"Off-Market on 10/10/2014 at $3,045",studio,1 bath,576 ftsq,776583
#311,"Off-Market on 08/05/2018 at $5,880",2 beds,2 baths,"1,080 ftsq",776583
#313,"Off-Market on 11/06/2014 at $3,116",studio,1 bath,675 ftsq,776583
#314,"Off-Market on 07/28/2015 at $3,809",studio,1 bath,694 ftsq,776583
#316,"Off-Market on 04/05/2018 at $2,970",studio,1 bath,487 ftsq,776583
#317,"Off-Market on 07/07/2018 at $2,820",studio,1 bath,475 ftsq,776583
#318,"Off-Market on 07/25/2013 at $3,387",studio,1 bath,464 ftsq,776583
#319,"Off-Market on 08/16/2016 at $2,886",studio,1 bath,472 ftsq,776583
#320,"Off-Market on 03/27/2012 at $15,500",3 beds,2 baths,"3,000 ftsq",776583
#320A,"Off-Market on 06/09/2018 at $12,000",3 beds,3 baths,"3,000 ftsq",776583
#324,"Off-Market on 09/10/2018 at $3,590",studio,1 bath,825 ftsq,776583
#325,"Off-Market on 07/26/2018 at $3,290",1 bed,1 bath,623 ftsq,776583
#401,"Off-Market on 05/06/2016 at $2,947",studio,1 bath,551 ftsq,776583
#402,"Off-Market on 08/23/2016 at $2,785",studio,1 bath,453 ftsq,776583
#403,"Listed for rent at $3,155",studio,1 bath,495 ftsq,776583
#405,"Off-Market on 03/20/2018 at $3,650",studio,1 bath,889 ftsq,776583
#407,"Off-Market on 12/02/2016 at $5,599",2 beds,2 baths,"1,079 ftsq",776583
#408,"Off-Market on 03/21/2014 at $3,225",studio,1 bath,591 ftsq,776583
#409,"Off-Market on 07/29/2009 at $3,300",studio,1 bath,600 ftsq,776583
#410,"Off-Market on 05/06/2016 at $3,092",studio,1 bath,576 ftsq,776583
#411,"Off-Market on 08/27/2014 at $5,535",2 beds,1 bath,"1,080 ftsq",776583
#412,"Off-Market on 12/11/2018 at $4,050",1 bed,1 bath,678 ftsq,776583
#413,"Off-Market on 05/31/2017 at $3,549",studio,1 bath,675 ftsq,776583
#415,"Off-Market on 12/12/2018 at $2,974",studio,1 bath,480 ftsq,776583
#416,"Off-Market on 07/07/2018 at $2,920",studio,1 bath,487 ftsq,776583
#417,"Off-Market on 05/20/2013 at $3,660",studio,1 bath,475 ftsq,776583
#418,"Off-Market on 07/14/2018 at $2,905",studio,1 bath,464 ftsq,776583
#419,"Off-Market on 07/16/2016 at $2,790",studio,1 bath,472 ftsq,776583
#420,"Off-Market on 02/26/2016 at $2,690",studio,1 bath,473 ftsq,776583
#421,"Off-Market on 05/29/2018 at $3,296",studio,1 bath,557 ftsq,776583
#422,"Off-Market on 10/01/2011 at $4,153",1 bed,,950 ftsq,776583
#424,"Off-Market on 05/01/2018 at $3,490",studio,1 bath,825 ftsq,776583
#425,"Off-Market on 10/28/2016 at $2,893",studio,1 bath,625 ftsq,776583
#502,"Off-Market on 03/28/2016 at $2,785",studio,1 bath,452 ftsq,776583
#503,"Off-Market on 06/30/2017 at $2,956",studio,1 bath,495 ftsq,776583
#504,"Off-Market on 04/16/2016 at $3,734",studio,1 bath,818 ftsq,776583
#505,"Off-Market on 03/20/2018 at $3,700",studio,1 bath,889 ftsq,776583
#507,"Off-Market on 04/27/2016 at $5,621",2 beds,2 baths,"1,079 ftsq",776583
#508,"Off-Market on 08/16/2017 at $3,348",1 bed,1 bath,591 ftsq,776583
#510,"Off-Market on 07/16/2016 at $3,156",studio,1 bath,576 ftsq,776583
#512,"Off-Market on 02/20/2015 at $3,748",1 bed,1 bath,678 ftsq,776583
#513,"Off-Market on 07/11/2018 at $3,545",studio,1 bath,675 ftsq,776583
#514,"Off-Market on 06/05/2018 at $3,690",studio,1 bath,694 ftsq,776583
#515,Off-Market,,,,776583
#515A,"Off-Market on 12/14/2013 at $3,450",studio,1 bath,,776583
#516,Off-Market,,,,776583
#517,"Off-Market on 09/06/2016 at $2,830",studio,1 bath,475 ftsq,776583
#518,"Off-Market on 08/15/2017 at $2,861",studio,1 bath,464 ftsq,776583
#519,"Off-Market on 05/17/2015 at $2,899",studio,1 bath,472 ftsq,776583
#520,"Off-Market on 04/26/2018 at $2,996",studio,1 bath,473 ftsq,776583
#521,"Off-Market on 05/29/2018 at $3,098",studio,1 bath,557 ftsq,776583
#523,"Off-Market on 09/03/2017 at $3,695",1 bed,1 bath,818 ftsq,776583
#524,"Off-Market on 02/05/2018 at $3,470",studio,1 bath,825 ftsq,776583
#525,"Off-Market on 05/31/2018 at $3,190",studio,1 bath,623 ftsq,776583
#601,"Off-Market on 10/20/2016 at $3,254",studio,1 bath,551 ftsq,776583
#602,"Off-Market on 05/05/2018 at $2,805",studio,1 bath,453 ftsq,776583
#603,"Off-Market on 05/12/2018 at $2,906",studio,1 bath,495 ftsq,776583
#605,"Off-Market on 04/05/2018 at $3,700",studio,1 bath,889 ftsq,776583
#606,"Off-Market on 02/12/2014 at $3,708",1 bed,1 bath,674 ftsq,776583
#607,"Off-Market on 01/11/2018 at $5,533",2 beds,2 baths,"1,079 ftsq",776583
#609,"Off-Market on 06/08/2017 at $3,354",1 bed,1 bath,618 ftsq,776583
#611,"Off-Market on 09/15/2016 at $5,679",2 beds,2 baths,"1,080 ftsq",776583
#612,"Off-Market on 02/22/2015 at $3,688",1 bed,1 bath,678 ftsq,776583
#613,"Off-Market on 03/17/2016 at $3,241",studio,1 bath,678 ftsq,776583
#614,"Off-Market on 09/10/2018 at $3,871",studio,1 bath,694 ftsq,776583
#616,"Off-Market on 06/03/2017 at $2,857",studio,1 bath,487 ftsq,776583
#617,"Off-Market on 06/16/2018 at $2,820",studio,1 bath,475 ftsq,776583
#620,"Off-Market on 06/10/2016 at $2,764",studio,1 bath,473 ftsq,776583
#621,"Off-Market on 04/10/2015 at $3,033",studio,1 bath,557 ftsq,776583
#622,"Off-Market on 10/05/2016 at $5,154",1 bed,1 bath,947 ftsq,776583
#624,"Off-Market on 06/06/2018 at $3,491",studio,1 bath,825 ftsq,776583
#625,"Off-Market on 01/06/2017 at $3,213",studio,1 bath,623 ftsq,776583
#701,"Off-Market on 01/23/2018 at $3,140",studio,1 bath,551 ftsq,776583
#702,"Off-Market on 07/08/2017 at $2,956",studio,1 bath,453 ftsq,776583
#704,"Off-Market on 08/01/2018 at $3,936",studio,1 bath,818 ftsq,776583
#705,Off-Market,,,,776583
#706,"Off-Market on 07/16/2016 at $3,686",studio,1 bath,674 ftsq,776583
#707,"Off-Market on 04/08/2017 at $5,908",2 beds,2 baths,"1,079 ftsq",776583
#708,"Off-Market on 05/22/2018 at $3,190",studio,1 bath,591 ftsq,776583
#709,"Off-Market on 04/20/2017 at $3,190",studio,1 bath,618 ftsq,776583
#710,"Off-Market on 05/01/2014 at $2,945",studio,1 bath,576 ftsq,776583
#711,"Off-Market on 10/31/2018 at $6,090",2 beds,2 baths,"1,080 ftsq",776583
#712,"Off-Market on 08/09/2018 at $3,985",1 bed,1 bath,678 ftsq,776583
#713,"Off-Market on 03/22/2014 at $3,200",studio,1 bath,675 ftsq,776583
#718,"Off-Market on 05/27/2016 at $2,913",studio,1 bath,464 ftsq,776583
#719,"Off-Market on 06/08/2015 at $2,705",studio,1 bath,472 ftsq,776583
#720,"Off-Market on 05/10/2018 at $2,941",studio,1 bath,473 ftsq,776583
#721,"Off-Market on 06/15/2016 at $3,103",studio,1 bath,557 ftsq,776583
#722,"Off-Market on 02/29/2016 at $4,447",1 bed,1 bath,947 ftsq,776583
#724,"Off-Market on 06/11/2018 at $3,545",studio,1 bath,825 ftsq,776583
#725,"Off-Market on 11/11/2014 at $3,136",studio,1 bath,623 ftsq,776583
#801,"Off-Market on 08/07/2017 at $3,493",1 bed,1 bath,551 ftsq,776583
