unit,status,no_rooms,no_bath,area(ftsq),id,units,stories,zip,age,Co-op,Condo,Rental Building,Single-Family Home,Doorman,Full-time Doorman,Elevator,Part-time Doorman,Cats and Dogs Allowed,Cats Only - No Dogs,Pets Allowed,ZIPCODE,SCORE
88,#806,3258400.0,3.0,3.5,2287,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
89,#901,2350000.0,2.0,2.0,1200,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
90,#902,12000.0,3.0,3.5,1917,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
91,#903,5300.0,1.0,1.0,827,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
92,#904,14500.0,3.0,3.5,1980,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
93,#905,14500.0,2.0,2.5,1353,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
94,#906,3750000.0,3.0,3.5,2287,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
95,#1001,1800000.0,2.0,2.0,1180,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
96,#1002,3650000.0,3.0,3.5,1917,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
97,#1003,5545.0,1.0,1.0,827,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
98,#1004,3300000.0,3.0,3.5,1980,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
99,#1005,2475000.0,2.0,2.5,1353,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
100,#1006,4050000.0,3.0,3.5,2287,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
101,#1101,1830000.0,2.0,2.0,1180,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
102,#1102,3848985.0,3.0,3.5,1917,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
103,#1103,5200.0,1.0,1.0,827,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
104,#1104,13500.0,3.0,3.5,1980,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
105,#1105,2900000.0,2.0,2.5,1353,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
106,#1106,4500000.0,2.0,2.5,2302,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
107,#1201,8500.0,2.0,2.0,1180,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
108,#1202,3920263.0,3.0,3.5,1917,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
109,#1203,1550000.0,1.0,1.0,827,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
110,#1204,3512963.0,3.0,3.5,1980,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
111,#1205,1858306.0,1.0,1.5,934,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
112,#1206,5630923.0,3.0,3.5,2721,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
113,#1401,12495.0,3.0,3.5,1892,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
114,#8014,7500.0,2.0,2.0,1180,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
