,unit,status,no_rooms,no_bath,area(ftsq),id,date,price
9592,#16M,"Off-Market,rent",1 bed,1 bath,867 ftsq,776525, 03/23/2015 ,3980.0
9593,#16N,"Off-Market,rent",studio,1 bath,581 ftsq,776525, 06/28/2016 ,3181.0
9594,#16P,"Off-Market,rent",studio,1 bath,557 ftsq,776525, 08/29/2018 ,3153.0
9595,#16R,"Off-Market,rent",studio,1 bath,560 ftsq,776525, 11/10/2016 ,3007.0
9596,#16S,"Off-Market,rent",studio,1 bath,556 ftsq,776525, 01/20/2018 ,3016.0
9597,#16T,"Off-Market,rent",studio,1 bath,550 ftsq,776525, 11/06/2013 ,3633.0
9598,#16U,"Off-Market,rent",studio,1 bath,545 ftsq,776525, 05/14/2018 ,2946.0
9599,#16V,"Off-Market,rent",studio,1 bath,549 ftsq,776525, 04/12/2016 ,3045.0
9600,#16X,"Off-Market,rent",studio,1 bath,431 ftsq,776525, 04/29/2016 ,2730.0
9601,#16Z,"Off-Market,rent",studio,1 bath,837 ftsq,776525, 11/10/2015 ,3646.0
9602,#17B,"Off-Market,rent",2 beds,2 baths,820 ftsq,776525, 03/04/2014 ,4290.0
9603,#17H,"Off-Market,rent",1 bed,1 bath,665 ftsq,776525, 01/07/2016 ,3733.0
9604,#17I,"Off-Market,rent",1 bed,1 bath,833 ftsq,776525, 08/07/2015 ,4323.0
9605,#17J,"Off-Market,rent",studio,1 bath,600 ftsq,776525, 05/27/2016 ,3356.0
9606,#17K,"Off-Market,rent",studio,1 bath,924 ftsq,776525, 05/11/2018 ,3356.0
9607,#17M,"Off-Market,rent",1 bed,1 bath,867 ftsq,776525, 02/13/2013 ,5969.0
9608,#17N,"Off-Market,rent",studio,1 bath,581 ftsq,776525, 09/20/2018 ,3328.0
9609,#17P,"Off-Market,rent",studio,1 bath,549 ftsq,776525, 11/04/2013 ,2625.0
9610,#17Q,"Off-Market,rent",studio,1 bath,564 ftsq,776525, 01/13/2015 ,2921.0
9611,#17S,"Off-Market,rent",studio,1 bath,556 ftsq,776525, 12/10/2018 ,3037.0
9612,#17T,"Off-Market,rent",studio,1 bath,550 ftsq,776525, 06/26/2015 ,3136.0
9613,#17U,"Off-Market,rent",studio,1 bath,525 ftsq,776525, 10/07/2015 ,3062.0
9614,#17V,"Off-Market,rent",studio,1 bath,549 ftsq,776525, 03/14/2012 ,2400.0
9615,#17W,"Off-Market,rent",studio,1 bath,851 ftsq,776525, 06/15/2016 ,4198.0
9616,#17X,"Off-Market,rent",studio,1 bath,431 ftsq,776525, 10/29/2014 ,2750.0
9617,#17Y,"Off-Market,rent",studio,1 bath,582 ftsq,776525, 04/27/2018 ,2898.0
9618,#18A,"Off-Market,rent",2 beds,2 baths,"1,161 ftsq",776525, 07/08/2015 ,5700.0
9619,#18B,"Off-Market,rent",studio,1 bath,679 ftsq,776525, 09/08/2017 ,3514.0
9620,#18C,"Off-Market,rent",studio,1 bath,589 ftsq,776525, 10/12/2016 ,3238.0
9621,#18D,"Off-Market,rent",studio,1 bath,921 ftsq,776525, 05/27/2016 ,3762.0
9622,#18E,"Off-Market,rent",1 bed,1 bath,782 ftsq,776525, 09/02/2015 ,4344.0
9623,#18F,"Off-Market,rent",1 bed,1 bath,781 ftsq,776525, 10/05/2017 ,4095.0
9624,#18G,"Off-Market,rent",1 bed,1 bath,738 ftsq,776525, 04/30/2018 ,3894.0
9625,#18H,"Off-Market,rent",1 bed,1 bath,665 ftsq,776525, 04/08/2017 ,3563.0
9626,#18J,"Off-Market,rent",studio,1 bath,600 ftsq,776525, 08/21/2014 ,3258.0
9627,#18K,"Off-Market,rent",1 bed,1 bath,925 ftsq,776525, 11/14/2018 ,3750.0
9628,#18L,"Off-Market,rent",1 bed,1 bath,667 ftsq,776525, 02/10/2015 ,3588.0
9629,#18M,"Off-Market,rent",1 bed,1 bath,867 ftsq,776525, 02/01/2014 ,3685.0
9630,#18N,"Off-Market,rent",studio,1 bath,581 ftsq,776525, 09/05/2014 ,2876.0
9631,#18Q,"Off-Market,rent",studio,1 bath,564 ftsq,776525, 06/24/2018 ,3314.0
9632,#18R,"Off-Market,rent",studio,1 bath,560 ftsq,776525, 07/12/2018 ,3183.0
9633,#18S,"Off-Market,rent",studio,1 bath,556 ftsq,776525, 07/15/2015 ,3121.0
